name (施設名),address (住所),latitude (緯度),longitude (経度),business_hours (利用時間),battery (充電池回収),phone (携帯・タブレット・PC回収),other_electronics (その他小型家電回収),区,施設の読み仮名,Googleマップリンク
山王市民センター,千葉市稲毛区六方町55-29,35.6577060,140.1452550,平日9:00～17:00,1,1,1,稲毛区,さんのうしみんセンター,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E7%8E%8B%E5%B8%82%E6%B0%91%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E7%A8%B2%E6%AF%9B%E5%8C%BA%E5%85%AD%E6%96%B9%E7%94%BA55-29
長沼コミュニティセンター,千葉市稲毛区長沼町461-8,35.6635972,140.1260565,月～日9:00～21:00,1,1,1,稲毛区,ながぬまコミュニティセンター,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E6%B2%BC%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%83%86%E3%82%A3%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E7%A8%B2%E6%AF%9B%E5%8C%BA%E9%95%B7%E6%B2%BC%E7%94%BA461-8
若葉区役所 3階総務課前,千葉市若葉区桜木北2-1-1,35.6340173,140.1556416,平日9:00～17:00,1,1,1,若葉区,わかばくやくしょ さんかいそうむかまえ,https://www.google.com/maps/search/?api=1&query=%E8%8B%A5%E8%91%89%E5%8C%BA%E5%BD%B9%E6%89%80%20%E5%8D%83%E8%91%89%E5%B8%82%E8%8B%A5%E8%91%89%E5%8C%BA%E6%A1%9C%E6%9C%A8%E5%8C%972-1-1
泉市民センター,千葉市若葉区高根町963-4,35.5941194,140.2206092,平日9:00～17:00,1,1,1,若葉区,いずみしみんセンター,https://www.google.com/maps/search/?api=1&query=%E6%B3%89%E5%B8%82%E6%B0%91%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E8%8B%A5%E8%91%89%E5%8C%BA%E9%AB%98%E6%A0%B9%E7%94%BA963-4
千城台コミュニティセンター,千葉市若葉区千城台西2-1-1,35.6220014,140.1868225,月～日9:00～21:00,1,1,1,若葉区,ちしろだいコミュニティセンター,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E5%9F%8E%E5%8F%B0%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%83%86%E3%82%A3%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E8%8B%A5%E8%91%89%E5%8C%BA%E5%8D%83%E5%9F%8E%E5%8F%B0%E8%A5%BF2-1-1
緑区役所 1階エレベーターホール,千葉市緑区おゆみ野3-15-3,35.5604429,140.1762808,平日9:00～17:00,1,1,1,緑区,みどりくやくしょ いっかいエレベーターホール,https://www.google.com/maps/search/?api=1&query=%E7%B7%91%E5%8C%BA%E5%BD%B9%E6%89%80%20%E5%8D%83%E8%91%89%E5%B8%82%E7%B7%91%E5%8C%BA%E3%81%8A%E3%82%86%E3%81%BF%E9%87%8E3-15-3
若葉・緑環境事業所,千葉市緑区平山町1045-5,35.5674050,140.2065950,平日9:00～17:00、土曜9:00～12:00,1,1,1,緑区,わかば・みどりかんきょうじぎょうしょ,https://www.google.com/maps/search/?api=1&query=%E8%8B%A5%E8%91%89%E3%83%BB%E7%B7%91%E7%92%B0%E5%A2%83%E4%BA%8B%E6%A5%AD%E6%89%80%20%E5%8D%83%E8%91%89%E5%B8%82%E7%B7%91%E5%8C%BA%E5%B9%B3%E5%B1%B1%E7%94%BA1045-5
土気あすみが丘プラザ1階(正面入口近く),千葉市緑区あすみが丘7-2-4,35.5212608,140.2654204,月～日9:00～21:00,1,1,1,緑区,とけあすみがおかプラザ いっかい(しょうめんいりぐちちかく),https://www.google.com/maps/search/?api=1&query=%E5%9C%9F%E6%B0%97%E3%81%82%E3%81%99%E3%81%BF%E3%81%8C%E4%B8%98%E3%83%97%E3%83%A9%E3%82%B61%E9%9A%8E%20%E5%8D%83%E8%91%89%E5%B8%82%E7%B7%91%E5%8C%BA%E3%81%82%E3%81%99%E3%81%BF%E3%81%8C%E4%B8%987-2-4
誉田公民館(誉田市民センター),千葉市緑区誉田町1-789-49,35.5498506,140.2032011,月～日9:00～21:00,1,1,1,緑区,ほんだこうみんかん(ほんだしみんセンター),https://www.google.com/maps/search/?api=1&query=%E8%AA%89%E7%94%B0%E5%85%AC%E6%B0%91%E9%A4%A8%20%E5%8D%83%E8%91%89%E5%B8%82%E7%B7%91%E5%8C%BA%E8%AA%89%E7%94%B0%E7%94%BA1-789-49
土気市民センター,千葉市緑区土気町1634,35.5307371,140.2732728,平日9:00～17:00,0,0,1,緑区,とけしみんセンター,https://www.google.com/maps/search/?api=1&query=%E5%9C%9F%E6%B0%97%E5%B8%82%E6%B0%91%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E7%B7%91%E5%8C%BA%E5%9C%9F%E6%B0%97%E7%94%BA1634
おゆみ野公民館,千葉市緑区おゆみ野中央2-7-6,35.5560817,140.1641965,月～日9:00～21:00,1,1,1,緑区,おゆみのこうみんかん,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E3%82%86%E3%81%BF%E9%87%8E%E5%85%AC%E6%B0%91%E9%A4%A8%20%E5%8D%83%E8%91%89%E5%B8%82%E7%B7%91%E5%8C%BA%E3%81%8A%E3%82%86%E3%81%BF%E9%87%8E%E4%B8%AD%E5%A4%AE2-7-6
越智公民館【新規設置】,千葉市緑区越智町822-7,35.5347841,140.2363643,月～日9:00～21:00,1,1,1,緑区,おちこうみんかん,https://www.google.com/maps/search/?api=1&query=%E8%B6%8A%E6%99%BA%E5%85%AC%E6%B0%91%E9%A4%A8%E3%80%90%E6%96%B0%E8%A6%8F%E8%A8%AD%E7%BD%AE%E3%80%91%20%E5%8D%83%E8%91%89%E5%B8%82%E7%B7%91%E5%8C%BA%E8%B6%8A%E6%99%BA%E7%94%BA822-7
美浜区役所 1階ロビー,千葉市美浜区真砂5-15-1,35.6406223,140.0627596,平日9:00～17:00,1,1,1,美浜区,みはまくやくしょ いっかいろびー,https://www.google.com/maps/search/?api=1&query=%E7%BE%8E%E6%B5%9C%E5%8C%BA%E5%BD%B9%E6%89%80%20%E5%8D%83%E8%91%89%E5%B8%82%E7%BE%8E%E6%B5%9C%E5%8C%BA%E7%9C%9F%E7%A0%825-15-1
高洲コミュニティセンター,千葉市美浜区高洲3-12-1,35.6269551,140.0709555,月～日9:00～21:00,1,1,1,美浜区,たかすコミュニティセンター,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E6%B4%B2%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%83%86%E3%82%A3%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E7%BE%8E%E6%B5%9C%E5%8C%BA%E9%AB%98%E6%B4%B23-12-1
打瀬公民館,千葉市美浜区打瀬2-13(幕張ベイタウン・コア内),35.6396488,140.0467933,月～日9:00～21:00,1,1,1,美浜区,うたせこうみんかん,https://www.google.com/maps/search/?api=1&query=%E6%89%93%E7%80%AC%E5%85%AC%E6%B0%91%E9%A4%A8%20%E5%8D%83%E8%91%89%E5%B8%82%E7%BE%8E%E6%B5%9C%E5%8C%BA%E6%89%93%E7%80%AC2-13%28%E5%B9%95%E5%BC%B5%E3%83%99%E3%82%A4%E3%82%BF%E3%82%A6%E3%83%B3%E3%83%BB%E3%82%B3%E3%82%A2%E5%86%85%29
イオンマリンピア店 3階携帯電話売り場カウンター横,千葉市美浜区高洲3-13-1,35.6283704,140.0740316,月～日9:00～22:00,1,1,1,美浜区,イオンマリンピアてん さんかいけいたいでんわうりばカウンターよこ,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%9E%E3%83%AA%E3%83%B3%E3%83%94%E3%82%A2%E5%BA%97%20%E5%8D%83%E8%91%89%E5%B8%82%E7%BE%8E%E6%B5%9C%E5%8C%BA%E9%AB%98%E6%B4%B23-13-1
